Bird_Id,Learner_type,Hemisphere,Cell_type,Region,Density_interneurons,log(Density_interneurons)
Silver10,Good,LH,CB,Medial,132433.8789,5.121999099
Silver10,Good,LH,aPV,Medial,162532.4877,5.210940183
Silver10,Good,LH,CT,Medial,279315.09,5.446094399
Silver10,Good,RH,CB,Medial,169951.9946,5.230326266
Silver10,Good,RH,aPV,Medial,127129.4448,5.10424615
Silver10,Good,RH,CT,Medial,386741.153,5.587420388
Silver13,Good,LH,CB,Medial,211817.9841,5.32596283
Silver13,Good,LH,aPV,Medial,197408.5974,5.295366063
Silver13,Good,LH,CT,Medial,266573.6534,5.425817224
Silver13,Good,RH,CB,Medial,187955.318,5.274054618
Silver13,Good,RH,aPV,Medial,195240.4079,5.290569706
Silver13,Good,RH,CT,Medial,365711.5102,5.563138629
Silver17,Bad,LH,CB,Medial,151945.8754,5.181688916
Silver17,Bad,LH,aPV,Medial,137421.6373,5.138055119
Silver17,Bad,LH,CT,Medial,271491.5273,5.433756281
Silver17,Bad,RH,CB,Medial,143791.4233,5.157732983
Silver17,Bad,RH,aPV,Medial,137154.8961,5.137211315
Silver17,Bad,RH,CT,Medial,236702.8045,5.374203404
Silver18,Bad,LH,CB,Medial,275165.6558,5.439594227
Silver18,Bad,LH,aPV,Medial,101129.2581,5.004876821
Silver18,Bad,LH,CT,Medial,373943.0707,5.57280549
Silver18,Bad,RH,CB,Medial,139157.0773,5.143505299
Silver18,Bad,RH,aPV,Medial,116712.3874,5.067116953
Silver18,Bad,RH,CT,Medial,343403.7552,5.53580504
Silver19,Bad,LH,CB,Medial,155853.859,5.19271756
Silver19,Bad,LH,aPV,Medial,192463.8259,5.284349115
Silver19,Bad,LH,CT,Medial,240579.7824,5.381259128
Silver19,Bad,RH,CB,Medial,110518.7943,5.043436138
Silver19,Bad,RH,aPV,Medial,181974.9112,5.260011516
Silver19,Bad,RH,CT,Medial,215321.0992,5.333086588
Silver20,Good,LH,CB,Medial,NA,NA
Silver20,Good,LH,aPV,Medial,NA,NA
Silver20,Good,LH,CT,Medial,NA,NA
Silver20,Good,RH,CB,Medial,215130.8193,5.332702631
Silver20,Good,RH,aPV,Medial,133320.5077,5.124896959
Silver20,Good,RH,CT,Medial,270681.0308,5.432457822
Silver26,Bad,LH,CB,Medial,165012.1266,5.217515861
